Bookworm | Reading books
Coach Potato | Watching TV
Homebody | Spending Time With Family
Technophile | Using Computers/Technology
Film Snob | Watching Movies
Fisher | Fishing
Green Thumb | Gardening  
Walk Master | Walking/Hiking
Jock | Playing Team Sports
Fitness Buff | Working Out
Putter | Playing Golf
Disciple | Going to Church
Sports Fan | Watching sports
Hoarder | Collecting
Party Animal | Socializing with friends
Wanderluster | Traveling/History
Musician | Playing music
Host | Entertaining/Throwing Parties
Porn Addict | Sex/Porn
Foodie | Eating out
Deer Villain | Hunting
Crafting Genius | Crafts/Scrapbooking
Swimfan | Swimming
Tent Pitcher | Camping/Outdoor activities
Clothing Designer | Fashion/Sewing/Crocheting
Lazy Bum | Slacker
Cardshark | Playing cards
Germphobic | Housework/Cleanliness 
Iron Chef | Cooking 
Grease Monkey | Working on cars
Sea Captain | Boating
Animal Lover | Pets
Starving Artist | Painting/Creator/Photographer
Mover and Shaker | Dancing
Bareback Rider | Horseback Riding
Napster | Sleeping
Marathon Junkie | Running/Bicycling/track and field events
Aspiring Novelist | Writing/Nanowrimo
Kingpin | Bowling
Shop Teacher | Woodworking/Home Depot lover
Snowbunny | Skiing/Snow sports
Racket Slammer | Tennis
